pride_event, sponsor_desc, sponsor_level
NYC Pride,"Presenting Sponsor", 1
NYC Pride,"Presenting Media Sponsor", 1
NYC Pride,"Preferred Payment Provider", 1
NYC Pride,"Platinum Sponsors", 2
NYC Pride,"Platinum Media Sponsor", 2
NYC Pride,"Gold Sponsors", 3
NYC Pride,"Gold Media Sponsor", 3
NYC Pride,"Silver Sponsors", 4
NYC Pride,"Silver Media Sponsors", 4
NYC Pride,"Bronze Sponsors", 5
NYC Pride,"Bronze Media Sponsors", 5
NYC Pride,"Other", 6
SF Pride,"Presenting Partner", 1
SF Pride,"Premier Partner", 2
SF Pride,"Commemorative Partner", 3
SF Pride,"Celebretory Partner", 4
SF Pride,"Media Partner", 5
SF Pride,"Community Partners", 6
SF Pride,"Donor", 6
SF Pride,"Travel Partner", 6
SF Pride,"Supporting Partners", 6
Miami Pride,"Presenting Partner", 1
Miami Pride,"Diamond Sponsors", 2
Miami Pride,"Platinum Sponsors", 3
Miami Pride,"Media Partners", 4
Miami Pride,"Gold Partners", 4
Miami Pride,"Silver Partners", 5
Miami Pride,"Bronze Partners", 6
Miami Pride,"Advocate Partners", 6
Houston Pride,"Presenting Partners", 1
Houston Pride,"Platinum", 2
Houston Pride,"Gold", 3,
Houston Pride,"Silver", 4
Houston Pride,"Ruby", 4
Houston Pride,"Bronze", 5
Houston Pride,"Additional", 6,
Houston Pride,"Community Partner", 6
LA Pride,"Presenting Partners", 1
LA Pride,"Icons", 2
LA Pride,"Broadcast Partner", 3
LA Pride,"Media Partner", 3
LA Pride,"Heros", 3
LA Pride,"Activists", 4
LA Pride,"Advocates", 5
LA Pride,"Allies", 6